18,brighten,0.283,horizontal-flip,0.941,sharpen,0.114,coarse-salt-pepper,0.129,horizontal-flip,0.323,emboss,0.292,horizontal-flip,0.322,fog,0.016,coarse-dropout,0.977,translate-x,0.189,0.574,13.199999999999996
12,brighten,0.258,add-to-hue-and-saturation,0.171,vertical-flip,0.138,brighten,0.981,translate-y,0.62,invert,0.479,rotate,0.233,clouds,0.296,coarse-dropout,0.99,additive-gaussian-noise,0.18,0.56,11.800000000000004
21,add-to-hue-and-saturation,0.082,sharpen,0.637,shear,0.123,add-to-hue-and-saturation,0.39,translate-y,0.735,gaussian-blur,0.4,clouds,0.337,gamma-contrast,0.056,vertical-flip,0.991,translate-y,0.904,0.557,11.500000000000005
15,horizontal-flip,0.045,emboss,0.429,fog,0.319,horizontal-flip,0.884,gamma-contrast,0.974,sharpen,0.147,rotate,0.875,coarse-salt-pepper,0.153,emboss,0.382,sharpen,0.196,0.551,10.900000000000004
11,clouds,0.012,brighten,0.621,gaussian-blur,0.053,translate-x,0.895,clouds,0.951,gaussian-blur,0.81,rotate,0.611,shear,0.233,horizontal-flip,0.789,horizontal-flip,0.144,0.546,10.400000000000004
20,brighten,0.367,translate-y,0.904,vertical-flip,0.463,coarse-salt-pepper,0.546,horizontal-flip,0.503,shear,0.18,gamma-contrast,0.053,add-to-hue-and-saturation,0.143,gamma-contrast,0.981,rotate,0.185,0.545,10.300000000000004
28,add-to-hue-and-saturation,0.067,brighten,0.334,fog,0.04,coarse-dropout,0.237,emboss,0.116,additive-gaussian-noise,0.304,rotate,0.41,translate-y,0.123,fog,0.995,coarse-salt-pepper,0.122,0.532,9.000000000000002
10,shear,0.898,add-to-hue-and-saturation,0.813,sharpen,0.267,add-to-hue-and-saturation,0.975,emboss,0.64,horizontal-flip,0.089,rotate,0.585,coarse-dropout,0.657,fog,0.695,fog,0.142,0.532,9.000000000000002
25,add-to-hue-and-saturation,0.172,additive-gaussian-noise,0.804,coarse-dropout,0.159,vertical-flip,0.154,translate-y,0.825,translate-x,0.348,vertical-flip,0.238,brighten,0.201,brighten,0.985,clouds,0.727,0.527,8.500000000000002
24,crop,0.712,gamma-contrast,0.103,dropout,0.006,emboss,0.207,brighten,0.838,fog,0.175,fog,0.368,gamma-contrast,0.086,fog,0.985,gaussian-blur,0.255,0.526,8.400000000000002
14,brighten,0.543,vertical-flip,0.497,rotate,0.817,clouds,0.968,crop,0.738,translate-x,0.094,coarse-dropout,0.419,emboss,0.279,emboss,0.796,vertical-flip,0.092,0.522,8.000000000000002
27,gamma-contrast,0.348,gamma-contrast,0.251,vertical-flip,0.016,fog,0.752,translate-y,0.231,coarse-salt-pepper,0.027,shear,0.002,fog,0.193,translate-x,0.402,translate-x,0.192,0.521,7.900000000000001
2,dropout,0.801,coarse-dropout,0.679,fog,0.582,coarse-dropout,0.759,rotate,0.474,shear,0.737,translate-x,0.135,sharpen,0.15,translate-x,0.386,horizontal-flip,0.45,0.515,7.300000000000001
29,brighten,0.079,gamma-contrast,0.313,dropout,0.142,translate-y,0.543,coarse-salt-pepper,0.131,sharpen,0.381,vertical-flip,0.357,additive-gaussian-noise,0.073,additive-gaussian-noise,0.999,dropout,0.304,0.51,6.800000000000001
9,emboss,0.42,gaussian-blur,0.365,crop,0.231,clouds,0.944,fog,0.339,dropout,0.339,shear,0.171,dropout,0.875,horizontal-flip,0.608,gamma-contrast,0.784,0.507,6.5
1,gamma-contrast,0.844,coarse-salt-pepper,0.847,brighten,0.384,translate-y,0.057,translate-y,0.478,add-to-hue-and-saturation,0.48,emboss,0.836,sharpen,0.648,emboss,0.957,rotate,0.87,0.505,6.3
17,translate-x,0.205,additive-gaussian-noise,0.219,sharpen,0.049,coarse-salt-pepper,0.99,brighten,0.632,vertical-flip,0.732,rotate,0.748,crop,0.559,translate-x,0.417,translate-y,0.206,0.504,6.2
3,brighten,0.902,gaussian-blur,0.97,invert,0.171,emboss,0.751,brighten,0.325,crop,0.634,vertical-flip,0.653,brighten,0.995,gamma-contrast,0.414,dropout,0.624,0.504,6.2
16,sharpen,0.176,crop,0.312,gaussian-blur,0.382,additive-gaussian-noise,0.289,invert,0.899,emboss,0.967,rotate,0.576,additive-gaussian-noise,0.113,rotate,0.769,brighten,0.041,0.503,6.1
30,fog,0.374,brighten,0.942,emboss,0.068,shear,0.865,shear,0.416,emboss,0.779,crop,0.041,translate-y,0.163,clouds,0.997,add-to-hue-and-saturation,0.14,0.5,5.8
